Fauna,Credit,Twitter,Page,Direction,Family
Libralces,Zimices,,http://phylopic.org/image/bc7ecc33-4790-47f8-a45e-e11698d96400/,L,
Llallawavis,Zimices,,http://phylopic.org/image/4127f84b-3bac-4b5a-bde0-380a09e93324/,R,
Megacerops,Zimices,,http://phylopic.org/image/77a63718-b3f1-415b-93f8-1240ec7b2136/,R,
Mesonyx,Zimices,,http://phylopic.org/image/73624419-f6f1-41a7-becf-7f1c90d5b203/,R,
Oxydactylus,Zimices,,http://phylopic.org/image/a8d02d68-a7c3-4db4-b22c-c3a0c6f764d7/,L,
Pachycrocuta,Zimices,,http://phylopic.org/image/8e52800c-e326-4be8-9b79-b84f2de9338e/,L,
Padillasaurus,Zimices,,http://phylopic.org/image/a878800a-df2b-4b63-b286-965bc288f3a5/,L,
Panochthus,Zimices,,http://phylopic.org/image/989bff0e-957b-45f9-ab40-9d9c3a5f51fc/,L,
Prothoatherium,Zimices,,http://phylopic.org/image/0cd9f4e6-564f-4162-ba8b-875d7dd7652d/,L,
Stegodon,Zimices,,http://phylopic.org/image/451fa4fd-3c6e-4368-88c1-ca75932449a3/,L,
Sthenurus,Zimices,,http://phylopic.org/image/d244a4f8-69e4-45b0-8bbc-82cd5520db7e/,L,
Tethysaurus,Zimices,,http://phylopic.org/image/52044499-6262-48f0-a61a-b4f193c536f7/,L,
Theosodon,Zimices,,http://phylopic.org/image/c9c5af3a-1fed-4abf-a734-3473f89cae18/,L,
Hoffstetterius,Zimices,,http://phylopic.org/image/93d2c84a-5cd0-4bb3-809f-8675e0b92457/,R,Mammal
Pampatherium,Zimices,,http://phylopic.org/image/cad2eeb5-7827-4b3d-b406-e20864a71637/,R,Mammal
Ceratogaulus,Zimices,,http://phylopic.org/image/1329953a-2745-4c37-b77f-e6ecd7929b1e/,L,Mammal
Dromeaosaurus skull,Becky Barnes,,http://phylopic.org/image/22e65f52-2e0c-47b2-b4c9-03bdbac84584/,R,Theropod
Lacerta agilis,Gustav Mützel,,http://phylopic.org/image/18af6753-2f5b-49d2-a28d-4cc1b7deaf6f/,R,SandLizard
Agaphelus acutorostrata,(uncredited),,http://phylopic.org/image/e03834fe-a585-479b-a334-db8a34312341/,L,Whale
Anatosuchus,"Todd Marshall, vectorized by Zimices",,http://phylopic.org/image/eee6f414-8c98-4f9f-b852-fedb647467f4/,L,
Eocardia,Zimices,,http://phylopic.org/image/cbef35b0-6874-483a-96cc-1440ac0672a5/,R,Mammal
Fumicollis,Alyssa Bell & Luis Chiappe 2015,,http://phylopic.org/image/0f7953ed-dd15-4409-b685-bacf461990c8/,L,ToothedBird
Oreopithecus,T. Michael Keesey,tmkeesey,http://phylopic.org/image/181e0252-d904-4e44-b53d-8b119a4c4e20/,L,Hominoidea
Lates niloticus,(uncredited),,http://phylopic.org/image/08915a93-1ea3-4373-8ff0-72d05324537f/,L,Fish
Pterodactyl,Matt Martyniuk,mpmartyniuk,http://phylopic.org/image/11c89dd2-7993-4503-9ea1-bc829d66ab65/,R,Pterosaur
Prolacerta,T. Michael Keesey,tmkeesey,http://phylopic.org/image/dec8dce0-d6f0-41a7-a9de-992fc558c341/,L,Archosauromorph 
Eustreptospondylus,Jaime Headden,JaimeHeadden,http://phylopic.org/image/e46c71d9-d38c-4539-9f95-b1a26167d5d0/,L,Megalosaurid
Einiosaurus,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/fa749dd0-d69b-43a3-b239-75b80c4307aa/,L,Ceratopsian
Jonkeria,Dmitry Bogdanov,,http://phylopic.org/image/d7c5cc6c-224c-44cb-a0c6-ff73d930ad26/,L,Dinocephalian
Pistosaurus,Nobu Tamura (vectorized by T. Michael Keesey),paleofan,http://phylopic.org/image/7999c103-932b-4647-815b-711a1967f0f4/,L,Sauropterygian
Contectopalatus,Gareth Monger,gaffamondo,http://phylopic.org/image/43d9c329-edd4-4042-b6e1-0983c3b6748e/,L,Ichthyosaur
Cymbospondylus,Gareth Monger,gaffamondo,http://phylopic.org/image/8162d84e-4578-4adf-98d5-2faad56bba19/,L,Ichthyosaur
Euhelopus,DiBgd (modified by T. Michael Keesey),,http://phylopic.org/image/2d448563-aede-4a54-a061-7382551214dd/,L,Sauropod
Loligo,Becky Barnes,,http://phylopic.org/image/443c7494-aa78-4a21-b2b4-cfa3639e1346/,R,Cephalopod
Waptia,Joanna Wolfe,,http://phylopic.org/image/7b14bf39-719f-4971-b5b3-59e8170be17d/,L,Arthropod
Callianassa,Joanna Wolfe,,http://phylopic.org/image/d6161b42-6233-4f64-802d-62f2f50c9a10/,L,Arthropod
Hesperornis,Scott Hartman,skeletaldrawing,http://phylopic.org/image/de96e43d-eb1c-4703-8058-4aab05d4abf3/,L,Bird
Caudipteryx,Scott Hartman,skeletaldrawing,http://phylopic.org/image/44f92120-e7ea-442c-b70e-4b4cb8515f8c/,L,Bird
Confuciusornis,Scott Hartman,skeletaldrawing,http://phylopic.org/image/47c355d3-e797-4e60-8683-639d2e8ea1a4/,L,Bird
Hilarcotherium,Zimices,,http://phylopic.org/image/4813e599-82d9-4632-9417-ea30faf8034b/,L,Mammal
Sphyrna,(uncredited),,http://phylopic.org/image/20c3f743-cf61-4d7a-8fcb-f422f5d12557/,L,Shark
Isurus,(uncredited),,http://phylopic.org/image/fd594f7c-4a09-4394-9826-31dad479ee59/,L,Shark
Livyatan,Darius Nau,,http://phylopic.org/image/ee0f1d67-96c3-4db6-a850-b107fdeedd88/,L,Mammal
Caementodon,Zimices,,http://phylopic.org/image/98e05a38-853d-481d-a6d5-a27e49fd7a61/,R,Mammal
Martialis,(uncredited),,http://phylopic.org/image/f4d28481-3b28-4cdb-9877-9b9d4f07e5f2/,L,Arthropod
Eunotosaurus,Nobu Tamura,,http://phylopic.org/image/805ad5e5-03d0-4556-b563-955a2f86af9b/,L,Reptile
Tamiasciurus,(uncredited),,http://phylopic.org/image/dad08fea-5263-4f57-a37b-c27cbe0eb9a5/,L,Mammal
Castor canadensis,(uncredited),,http://phylopic.org/image/b3dd721e-6084-4413-8300-44e10d8fd3ca/,R,Mammal
Atelocynus microtis,(uncredited),,http://phylopic.org/image/8740361a-d335-40b2-9c7c-50188f783682/,R,Mammal
